	GEOID	CRIME_RATE
0	1001	122.75476126
1	1003	48.9728200849
2	1005	63.2275821029
3	1007	17.7730383009
4	1009	155.927857378
5	1011	139.353400223
6	1013	216.791486007
7	1015	12.9404051209
8	1017	11.7384669562
9	1019	188.193724315
10	1021	179.827456693
11	1025	288.634996993
12	1027	125.442739079
13	1031	55.0000982145
14	1033	106.338118549
15	1037	119.41943781
16	1039	58.0260589756
17	1041	372.039779638
18	1043	103.335014578
19	1045	58.604801552
20	1047	155.834192419
21	1049	180.116794484
22	1051	64.2157649703
23	1053	63.6048021626
24	1055	83.0669074963
25	1059	82.2758773457
26	1061	194.669062594
27	1063	280.603297089
28	1065	92.2023182297
29	1067	110.529377545
30	1069	76.7805898669
31	1071	153.802335517
32	1075	113.587959676
33	1079	197.150282283
34	1083	90.3213015079
35	1085	463.137996219
36	1087	123.552123552
37	1089	97.6308810473
38	1091	164.097463948
39	1093	99.1047537247
40	1095	49.6639756541
41	1097	33.4840517148
42	1099	154.918667699
43	1101	8.84216296991
44	1109	44.9249752913
45	1111	8.87350814144
46	1113	72.137968058
47	1115	33.4498310207
48	1121	90.9962863678
49	1123	46.1557148063
50	1125	105.334994956
51	1127	157.321562218
52	1129	130.687893549
53	1131	468.552892413
54	1133	62.1118012422
55	4001	83.532884112
56	4005	66.0943333188
57	4007	143.074982586
58	4009	310.878098901
59	4012	128.515644308
60	4013	27.2558830747
61	4015	80.1530283584
62	4017	63.8291967697
63	4019	97.1612199308
64	4021	48.2685522918
65	4023	17.132455295
66	4027	74.7858516977
67	5001	0.235978733597
68	5001	37.6465526514
69	5003	147.985487875
70	5005	93.0073182074
71	5007	35.0774386042
72	5009	134.423056243
73	5013	38.4467512495
74	5015	154.988465975
75	5017	35.7781753131
76	5019	44.2948263643
77	5023	152.141686822
78	5025	23.6714404071
79	5027	121.171604061
80	5029	132.808423849
81	5031	28.287715328
82	5033	84.2828662658
83	5035	205.860983289
84	5037	179.950078365
85	5039	64.4745325596
86	5043	279.239609065
87	5045	96.0519342872
88	5047	213.423195732
89	5049	90.7216494845
90	5051	397.649041327
